id,text,label,origin,id-type
https://www.elplural.com/politica/espana/polemica-respuesta-espinosa-monteros-marlaska-despedida-julio-anguita-no-respetaron-distancias_240104102,"Durante su intervención, el vicesecretario de Vox también ha dejado patente la crisis a la que se enfrenta la derecha después de que Ciudadanos apoyase la pasada prórroga del estado de alarma, como se espera que también apoye la que se debate mañana.",0,news-articles,url
1.271010900259078e+18,"Nueva manipulación a la mujer de la @rfef, dónde se quedó la igualdad ante la Ley del art 14 de la Constitución  @VOX_Congreso seguirá luchando. https://t.co/qopoFRbqyQ",1,twitter,twitterId
1.2986035925013957e+18,"SOLIDARIDAD con los 500 trabajadores de Acciona que se enfrentan a un ERE.

✖️El gobierno más preocupado de sus políticas progres que de crear un tejido industrial fuerte.

✖️Los sindicatos cómplices preocupados por agradar al gobierno.

https://t.co/CqJnPAKzfx",1,twitter,twitterId
1.2811132626507776e+18,"☀️ #BuenosDías #FelizJueves 

  Mañana nuestra candidata a la Xunta @Beatriz_Pino_ , estará acompañada de @Tonicanto1 y @GuillermoDiazCs en #SantiagodeCompostela #StopNacionalismo 

 Alameda 

⏰ 12:30h

  ¡Te esperamos!
#MoitoQueGañar https://t.co/fbpFEv9aiu",0,twitter,twitterId
1.465632198984405e+18,"Porros o educación gratuita.

Adoctrinamiento progre o educación gratuita y exigente.

Fracaso escolar o educación gratuita, exigente y de calidad.

Juventud sumisa o juventud con futuro.

Cuestión de prioridades, cuestión de agendas. https://t.co/GAN7aeqtby",1,twitter,twitterId
https://www.elplural.com/politica/espana/pablo-iglesias-interrumpido-risas-derecha-el-nivel-desfachatez-senorias-sede-parlamentaria-precedentes_248800102,"Sin embargo, la respuesta iba cargada de un desagradable momento ya quese ha producido un revuelo en el hemiciclo cuando el líder de Podemos ha asegurado que su familia no tiene ""ningún problema económico"", pese a no tener reconocido el derecho de familia numerosa para ambos progenitores al no estar casados.",0,news-articles,url
http://www.elconfidencial.com/cultura/2015-09-14/el-holograma-de-whitney-houston-sale-de-gira-mundial_1015997/,"Sí,han leído bien.",0,news-articles,url
https://beta.newtral.es/duracion-partidos-nadal/20220708/,Las cuatro veces en tierra batida.,0,news-articles,url
https://blogs.elconfidencial.com/espana/mientras-tanto/2023-04-16/pp-psoe-bibloquismo-erc-bildu-feijoo-sanchez_3611663/,¿O es que es mejor la situación anterior?,0,news-articles,url
1.517149812088402e+18,"En 2020 es van contractar ferries ad hoc d’urgència, des d'Alacant a Orà, en el qual es van deportar, segons la premsa, a moltes persones, també a #MohamedAbdellah , denunciant de corrupció, sol·licitant d'asil en Espanya, que actualment està pres a Algèria i denuncia tortures https://t.co/mEx5Zw75Xk",0,twitter,twitterId
1.2418463947192934e+18,"Si eres de los que sale de paseo en plena cuarentena, te quiero bien lejos.
Si eres de los que aplauden los abusos policiales en plena cuarentena, te quiero igual de lejos.

Algún día esto terminará pero vuestra miseria seguirá estando ahí.",1,twitter,twitterId
1.2764687212179333e+18,"  Quienes dicen defender a los trabajadores no son más que unos corruptos que utilizan sus puestos para robar.

No es de extrañar que los obreros ya no se sientan representados por una casta sumisa que solo defiende los intereses del Gobierno y las multinacionales. https://t.co/75oKhhMwgU",1,twitter,twitterId
http://www.vanitatis.elconfidencial.com/television/audiencias/2016-09-20/audiencias-mar-de-plastico-gana-bertin-osborne_1262584/,"""First Dates"": 1.847.000 y 10,5%",0,news-articles,url
https://www.newtral.es/estafas-espana-internacionales-vacuna-coronavirus/,Un mecanismo que es conocido como “el timo del CEO”.,0,news-articles,url
https://www.noticiasdealava.eus/vivir-on/gente/2021/03/16/txema-gutierrez-conectados/1086562.html?utm_source=rss,¿Ha cambiado mucho el programa?,0,news-articles,url
1.2717350521714442e+18,Hace 20 años fue necesario recordar a #MarlaskaDimision que la lucha contra ETA era incompatible con la cobardía. Entonces y hoy traicionó a las FYCS. En aquel momento fue la Audiencia Provincial quien revocó la imputación del agente linchado. Hoy la traicion exige su dimisión. https://t.co/nqNvErqSgO https://t.co/73TA0dTjeL,1,twitter,twitterId
http://www.eldiario.es/madrid/Manuela-Carmena-Yusty-opiniones-politicas_0_686631639.html,"Manuela Carmena no recusará a José Yusty Bastarreche, el juez que este martes suspendió el acto en Madrid a favor del derecho a decidir, a pesar de las opiniones políticas en público que ha expresado el magistrado.",0,news-articles,url
1.2750242907868078e+18,"  Una pareja de ciegos totales tiene gemelos durante el confinamiento tras pasar ambos el coronavirus.

Posan para 'La Vanguardia' justo después el feliz alumbramiento: ¡Gemelos! La vida les da el doble de todo.

https://t.co/Qr8BJjer0T por Kike Calvo

https://t.co/Qr8BJjer0T",0,twitter,twitterId
https://www.elplural.com/opinion/la-verdadera-historia-de-maria-jesus-botella-un-cuarto-de-siglo-enchufada_119822102,En todo caso es paradigma de la “profesionalización” de determinados políticos por hallarse en las cercanías del poder de los partidos o en el seno de familias poderosas dentro del partido.,0,news-articles,url
1.2761926370291016e+18,"Marlaska. Se ausenta del debate de su reprobación y la salva con el voto de Bildu, que aprovecha para humillar al juez valiente contra ETA que un día fue. Ahí tiene material freudiano para la segunda parte de “Ni pena ni miedo”. Qué descenso.",1,twitter,twitterId
1.3137996363358904e+18,"  @garciapage ni una palabra de arrepentimiento ni de pedir perdón por sus gravísimos errores que han costando tantas vidas, salud y dinero. 

#PageNoTeCreo",1,twitter,twitterId
1.273479970917167e+18,"De la Prision de Jaén a Huelva,todo un tour de diputados de Bildu autorizado por #Marlaska para visitar a terroristas ,saltándose el estado de alarma!! 
A estos no los sanciona a estos les da salvoconductos!!  https://t.co/pw20wCdwfM",0,twitter,twitterId
https://www.newtral.es/senor-de-los-anillos-videojuego-trayectoria-analisis-derechos/,Resulta que los tomates son una cosa del Nuevo Mundo y no hay ninguno en la Tierra Media pese a lo que te quieran hacer creer los que han hecho las películas.,0,news-articles,url
https://www.elconfidencial.com/espana/observatorio-electoral/2023-04-17/encuestas-autonomicas-28m-ayuso-mayoria-madrid-pp-vox-aragon-comunidad-valenciana_3605180/,"Otra encuesta realizada por Sigma Dos y publicada por El Mundo dibujaba un empate técnico entre PP y PSOE en Sevilla, aunque dejaba a los populares algo por debajo.",0,news-articles,url
https://www.elplural.com/opinion/igualdad-diferencia_248879102,"Y, aunque creamos que nos trata por igual, acaba dejando al descubierto esas diferencias que no deberían de existir.",1,news-articles,url
